,mall_name,Latitude,Longitude,scale,POI_id,Pop
0,CityScape,33.44777,-112.07319,150,4121,19.625
1,The Flow Shop,33.42589,-111.94049,300,4234,16.0
2,Bell Canyon Pavilions,33.64287,-112.11855,500,4304,15.857142857142858
3,Park Central,33.48405,-112.07645,300,4232,15.375
4,Camelback Colonnade,33.50778,-112.04218,500,4306,15.347826086956522
5,Biltmore Fashion Park,33.510870000000004,-112.02793,300,4227,15.341463414634147
6,Bethany East Shopping Center,33.5228,-112.04862,300,4225,12.909090909090908
7,Arizona Center,33.45284,-112.06883,300,4204,11.842105263157896
8,Discount Fireworks Superstore,33.553509999999996,-112.10106,300,4222,11.842105263157896
9,Christown Spectrum,33.522,-112.09487,500,4300,11.666666666666666
10,Uptown Plaza,33.5103,-112.07253999999999,300,4202,11.55
11,Pink Saguaro,33.52349,-112.02224,150,4115,11.375
12,SMG Co,33.60199,-111.98401000000001,300,4214,10.416666666666666
13,Camelback Village Square,33.51037,-112.08438999999998,150,4117,10.11111111111111
14,Target,33.4773,-111.98446000000001,500,4307,9.096774193548388
15,Deer Valley Towne Center,33.667609999999996,-112.1221,300,4207,9.076923076923077
16,Cinema Park Village Shopping Center,33.51737,-112.06352,300,4224,8.833333333333334
17,Pink House Boutique,33.538940000000004,-112.18337,150,4113,8.714285714285714
18,Biltmore Plaza Shopping Center,33.51076,-112.01473,150,4116,8.153846153846153
19,Bell Towne Plaza,33.6386,-112.06963,500,4305,7.883720930232558
20,Paradise Village Gateway,33.58469,-111.97698000000001,300,4221,7.518518518518518
21,Metro Towne Center,33.580459999999995,-112.12406999999999,300,4219,7.0
22,Arcadia Modern Dentistry,33.49536,-111.98865,150,4119,6.833333333333333
23,Arcadia Town Center,33.49541,-111.9792,150,4120,6.5
24,Northern Crossing,33.55172,-112.18184,500,4301,6.454545454545454
25,frago,33.495259999999995,-112.16923999999999,300,4228,6.333333333333333
26,Metrocenter,33.57504,-112.1217,500,4302,6.111111111111111
27,Arizona Mills,33.383070000000004,-111.96432,500,4309,5.926470588235294
28,Panda Express,33.63779,-112.21738,300,4209,5.769230769230769
29,Target,33.58081,-112.15298,300,4218,5.444444444444445
30,Hayden Plaza North,33.59863,-112.03835,300,4216,5.333333333333333
31,Gaslight Square,33.49475,-112.00255,300,4231,5.0625
32,Cactus Corner Shopping Center,33.59713,-112.16751000000001,150,4102,5.0
33,Sugar Sugar,33.49604,-112.02056,300,4229,4.769230769230769
34,Peoria Station,33.57995,-112.20432,300,4217,4.625
35,Desert Palms Power Center,33.47923,-111.99985,500,4308,4.5
36,Laveen Ranch Marketplace,33.37627,-112.16666000000001,150,4100,4.333333333333333
37,Bell Park,33.640240000000006,-112.15069,150,4107,4.25
38,Laveen Village Marketplace,33.37892,-112.17156000000001,300,4200,4.181818181818182
39,Costco Wholesale,33.67092,-112.02863,300,4208,4.125
40,Sunburst plaza,33.63818,-112.15403,150,4108,4.0
41,Arrowhead Ranch Center,33.67057,-112.18543999999999,300,4206,3.9166666666666665
42,Baseline Rd,33.37908,-112.10177,300,4201,3.6666666666666665
43,99 Cents Only Stores,33.66495,-112.20165,300,4205,3.6363636363636362
44,Moon valley center,33.60875,-112.06622,300,4212,3.625
45,HomeGoods,33.59851,-111.98485,300,4215,3.5833333333333335
46,Clean Freak,33.63832,-112.18708000000001,500,4303,3.5454545454545454
47,Bethany Towne Center,33.526509999999995,-112.13212,300,4203,3.5
48,FastMed Urgent Care,33.37934,-111.97783999999999,150,4122,3.5
49,Legacy Village,33.37875,-112.03451000000001,300,4233,3.4285714285714284
50,Cricket Wireless Authorized Retailer,33.49561,-112.10023999999999,150,4118,3.3333333333333335
51,Best Buy,33.600840000000005,-111.97673999999999,300,4213,3.3333333333333335
52,Lakeshore Learning Store,33.63864,-111.9803,300,4210,3.2857142857142856
53,Scottsdale Fashion Square,33.502790000000005,-111.92931000000002,300,4226,3.272727272727273
54,Shoppes At Rogers Ranch,33.3785,-112.16721000000001,150,4101,3.25
55,35th Ave Sew & Vac,33.55397,-112.13488999999998,300,4223,3.125
56,Ross Less,33.49403,-112.014,300,4230,2.9
57,Walmart Neighborhood Market,33.56646,-112.07216000000001,150,4112,2.8333333333333335
58,FedEx Office Print & Ship Center,33.611290000000004,-112.18457,150,4109,2.625
59,Cactus Village,33.59571,-112.01446999999999,150,4111,2.3333333333333335
60,Paradise Hills Shopping Center,33.58347,-112.0141,300,4220,2.111111111111111
61,The legends,33.67005,-112.20165,150,4103,2.1
62,Arrowhead Promenade,33.66667,-112.18851000000001,150,4104,2.0
63,The Citadelle,33.66202,-112.18771000000001,150,4105,2.0
64,Ross,33.62758,-112.01136000000001,300,4211,2.0
65,North Mountain Villiage,33.6099,-112.13186,150,4110,1.5
66,Union Hills Village,33.65602,-112.09863,150,4106,1.4285714285714286
67,Walker's Food & Liquor,33.52375,-112.11505,150,4114,1.0
